name,sku,price_net,stock,category,description,image_path,active
PLUG SMA CRIMP RG58,M2A-CPRG58,1500,9,inicio,,products/M2A-CPRG58.jpg,True
CONECTOR DB9 PCB MACHO,M2A-CDB9.M,2000,45,inicio,,products/M2A-CDB9.M.jpg,True
CONECTOR DUPONT 4 PINES,M2A-CD4P,1500,564,inicio,,products/M2A-CD4P.jpg,True
CONECTOR HEMBRA MICRO USB,M2A-CHMUSB,1000,30,inicio,,products/M2A-CHMUSB.jpg,True
CONECTOR HEMBRA TIPO C,M2A-CHTC,1000,109,inicio,,products/M2A-CHTC.jpg,True
RCA PLUG MACHO,M2A-RCA,700,76,conectores,"<p>CONECTOR, ROJO, NEGRO, RCA</p>",products/M2A-RCA.jpg,True
DISPLAY LED 7 SEGMENTO 1X2 ANODO,564136-1,1000,5,inicio,"<p>7 SEGMENTO, ANODO, CATODO, DISPLAY, MODULO</p>",products/564136-1.jpg,True
PLUG MACHO NEGRO-5.5/ 2.1,M2A-CPNM-1,600,69,conectores,"<p>CONECTOR, MACHO, PLUG</p>",products/M2A-CPNM-1.jpg,True
BNC HEMBRA PARA CABLE COAXIAL.,BNC2AH,1000,17,conectores,"<p>CABLE, CONECTOR, MACHO, BNC, RG58, LMR195</p>",products/BNC2AH.jpg,True
CONVERTIDOR MAX3232 RS232 a TTL HEMBRA DB9,FT232RL-1,4300,47,inicio,"<p>ARDUINO, ADAPTADOR, MODULO, USB, CONVERTIDOR, TTL, FT232, ARDUINO CONVERTIDOR DE ADAPTADOR</p>",products/FT232RL-1.jpg,True
ARREGLO DE RESISTENCIAS 1/8 W 5% 9 PINES,E1C-AR1/8,0,0,inicio,,products/E1C-AR1/8.jpg,True
RESISTENCIAS 1/4W 1% (25 unidades),R-1/6-5-1-1,0,122,inicio,"<p>pcs, W, UNIDADES, RESISTENCIAS</p>",products/R-1/6-5-1-1.jpg,True
AMPLIFICADOR DE SONIDO PARA JUEGO ARCADE Y TABLEROS DE JUEGO,E2B-MOD1W,4500,5,comunicacion,,products/E2B-MOD1W.jpg,True
MODULO INFRARROJO RECEPTOR,E2B-MODIR38,1000,9,inicio,,products/E2B-MODIR38.jpg,True
MODULO RECEPTOR DE RADIO 315 MHZ,E2B-MOD315,2000,19,comunicacion,"<p>MODULO, RECEPTOR, RADIO, 315, MHZ,</p>",products/E2B-MOD315.jpg,True
MODULO SENSOR INFRARROJO 4 CANALES,E2B-MODIR,0,0,modulos,,products/E2B-MODIR.jpg,True
INTERRUPTOR METALICO 22MM IP65 CON LED 24V,M3B-IM22LED,6000,57,inicio,"<p>PULSADOR, METALICO, 15MM 5 PINES</p>",products/M3B-IM22LED.jpg,True
TARJETA MICRO SD SANDISK ULTRA 64GB,,7000,2,inicio,,products/.jpg,True
LECTOR DE TARJETA MICRO SD ZHS - USB 2.0,,1000,14,inicio,,products/.jpg,True
RESISTENCIA 15KΩ - 3W 5% (25 unidades),E-1A/3W15K5,2500,33,inicio,,products/E-1A/3W15K5.jpg,True
